# basename,datetime,site,mode,raw_size,gz_size,7z_size
COVIS-20190128T002342-diffuseleft,2019-01-28 00:23:42,Ashes,diffuseleft,961743338,277795266,165314623
COVIS-20190128T004704-diffuseright,2019-01-28 00:47:04,Ashes,diffuseright,961743760,386923557,263744039
COVIS-20190128T011049-diffuseleft,2019-01-28 01:10:49,Ashes,diffuseleft,961743321,279964462,166449735
COVIS-20190128T030001-diffuseright,2019-01-28 03:00:01,Ashes,diffuseright,961743731,390032716,265540385
COVIS-20190128T032320-diffuseleft,2019-01-28 03:23:20,Ashes,diffuseleft,961743404,279764516,166813815
COVIS-20190128T034651-diffuseright,2019-01-28 03:46:51,Ashes,diffuseright,961743747,395301913,270544327
COVIS-20190128T041031-diffuseleft,2019-01-28 04:10:31,Ashes,diffuseleft,961743439,281241841,167858074
COVIS-20190128T060002-diffuseright,2019-01-28 06:00:02,Ashes,diffuseright,961743827,392175568,267675024
COVIS-20190128T062348-diffuseleft,2019-01-28 06:23:48,Ashes,diffuseleft,961743355,288221564,169394604
COVIS-20190128T064726-diffuseright,2019-01-28 06:47:26,Ashes,diffuseright,961743777,395059303,268459968
COVIS-20190128T071058-diffuseleft,2019-01-28 07:10:58,Ashes,diffuseleft,961743409,292142576,173572007
COVIS-20190128T090002-diffuseright,2019-01-28 09:00:02,Ashes,diffuseright,961743860,387306088,264015143
COVIS-20190128T092334-diffuseleft,2019-01-28 09:23:34,Ashes,diffuseleft,961743393,280226170,166952068
COVIS-20190128T094711-diffuseright,2019-01-28 09:47:11,Ashes,diffuseright,961743865,386837679,263709647
COVIS-20190128T101026-diffuseleft,2019-01-28 10:10:26,Ashes,diffuseleft,961744106,277848466,165296971
COVIS-20190128T120002-diffuseright,2019-01-28 12:00:02,Ashes,diffuseright,961745042,391344257,267596092
COVIS-20190128T122344-diffuseleft,2019-01-28 12:23:44,Ashes,diffuseleft,961744594,279372228,166727703
COVIS-20190128T124719-diffuseright,2019-01-28 12:47:19,Ashes,diffuseright,961745058,391017666,266998936
COVIS-20190128T131057-diffuseleft,2019-01-28 13:10:57,Ashes,diffuseleft,961744582,278184975,165831363
COVIS-20190128T150002-diffuseright,2019-01-28 15:00:02,Ashes,diffuseright,961744982,389092344,265812762
COVIS-20190128T152336-diffuseleft,2019-01-28 15:23:36,Ashes,diffuseleft,961744542,279929949,166989650
COVIS-20190128T154740-diffuseright,2019-01-28 15:47:40,Ashes,diffuseright,961744958,392113089,267782869
COVIS-20190128T161111-diffuseleft,2019-01-28 16:11:11,Ashes,diffuseleft,961744579,279098900,166215461
COVIS-20190128T180002-diffuseright,2019-01-28 18:00:02,Ashes,diffuseright,961744998,388254405,264550086
COVIS-20190128T193001-diffuseright,2019-01-28 19:30:01,Ashes,diffuseright,961744985,389182737,265000174
COVIS-20190128T210002-diffuseright,2019-01-28 21:00:02,Ashes,diffuseright,961745063,404234702,272270646
COVIS-20190128T223002-diffuseright,2019-01-28 22:30:02,Ashes,diffuseright,961745069,391103390,267245493
COVIS-20190129T000002-diffuseright,2019-01-29 00:00:02,Ashes,diffuseright,961744981,389993548,266512860
COVIS-20190129T013002-diffuseright,2019-01-29 01:30:02,Ashes,diffuseright,961744974,394246156,267565127
COVIS-20190129T030002-diffuseright,2019-01-29 03:00:02,Ashes,diffuseright,961744902,405347342,275632040
COVIS-20190129T043002-diffuseright,2019-01-29 04:30:02,Ashes,diffuseright,961744999,391243538,266576515
COVIS-20190129T060002-diffuseright,2019-01-29 06:00:02,Ashes,diffuseright,961744985,393325382,268040575
COVIS-20190129T073001-diffuseright,2019-01-29 07:30:01,Ashes,diffuseright,961745043,389268502,264328639
COVIS-20190129T090001-diffuseright,2019-01-29 09:00:01,Ashes,diffuseright,961745056,396943340,271242157
COVIS-20190129T103001-diffuseright,2019-01-29 10:30:01,Ashes,diffuseright,961745057,403287276,273787627
COVIS-20190129T120002-diffuseright,2019-01-29 12:00:02,Ashes,diffuseright,961745011,394687383,270028764
COVIS-20190129T133002-diffuseright,2019-01-29 13:30:02,Ashes,diffuseright,961745084,389792126,266554156
COVIS-20190129T150002-diffuseright,2019-01-29 15:00:02,Ashes,diffuseright,961745081,393312997,268624349
COVIS-20190129T163001-diffuseright,2019-01-29 16:30:01,Ashes,diffuseright,961744989,389718656,265760226
COVIS-20190129T180001-diffuseright,2019-01-29 18:00:01,Ashes,diffuseright,961745123,390973085,267306810
COVIS-20190129T193001-diffuseright,2019-01-29 19:30:01,Ashes,diffuseright,961744904,389737676,264707857
COVIS-20190129T210001-diffuseright,2019-01-29 21:00:01,Ashes,diffuseright,961744969,400199253,273579968
COVIS-20190129T223002-diffuseright,2019-01-29 22:30:02,Ashes,diffuseright,961745032,394586620,268907289
COVIS-20190130T000002-diffuseright,2019-01-30 00:00:02,Ashes,diffuseright,961744989,392852287,267963188
COVIS-20190130T001802-diffuseleft,2019-01-30 00:18:02,Ashes,diffuseleft,961744533,283992140,169924293
COVIS-20190130T013002-diffuseright,2019-01-30 01:30:02,Ashes,diffuseright,961744928,397372761,268828333
COVIS-20190130T015318-diffuseleft,2019-01-30 01:53:18,Ashes,diffuseleft,961744621,285758278,169433527
COVIS-20190130T030002-diffuseright,2019-01-30 03:00:02,Ashes,diffuseright,961745018,391186841,267273650
COVIS-20190130T032319-diffuseleft,2019-01-30 03:23:19,Ashes,diffuseleft,961744608,277059217,165387484
COVIS-20190130T043002-diffuseright,2019-01-30 04:30:02,Ashes,diffuseright,961745005,386624725,263178052
COVIS-20190130T045328-diffuseleft,2019-01-30 04:53:28,Ashes,diffuseleft,961744639,285803839,169695890
COVIS-20190130T060002-diffuseright,2019-01-30 06:00:02,Ashes,diffuseright,961745007,391995554,267663321
COVIS-20190130T062303-diffuseleft,2019-01-30 06:23:03,Ashes,diffuseleft,961744542,279057901,166350504
COVIS-20190130T073002-diffuseright,2019-01-30 07:30:02,Ashes,diffuseright,961745057,398095024,269242026
COVIS-20190130T075334-diffuseleft,2019-01-30 07:53:34,Ashes,diffuseleft,961744509,297417677,176571051
COVIS-20190130T090002-diffuseright,2019-01-30 09:00:02,Ashes,diffuseright,961745013,393986299,267882801
COVIS-20190130T092332-diffuseleft,2019-01-30 09:23:32,Ashes,diffuseleft,961744558,293437741,171905474
COVIS-20190130T103002-diffuseright,2019-01-30 10:30:02,Ashes,diffuseright,961745035,390245879,263803182
COVIS-20190130T105316-diffuseleft,2019-01-30 10:53:16,Ashes,diffuseleft,961744670,291917132,170975386
COVIS-20190130T120002-diffuseright,2019-01-30 12:00:02,Ashes,diffuseright,961745040,392376904,268373173
COVIS-20190130T122341-diffuseleft,2019-01-30 12:23:41,Ashes,diffuseleft,961744617,279926281,166839040
COVIS-20190130T133001-diffuseright,2019-01-30 13:30:01,Ashes,diffuseright,961744990,390985309,267559182
COVIS-20190130T135338-diffuseleft,2019-01-30 13:53:38,Ashes,diffuseleft,961744539,284022673,169747011
COVIS-20190130T150001-diffuseright,2019-01-30 15:00:01,Ashes,diffuseright,961745040,393068270,269559046
COVIS-20190130T152314-diffuseleft,2019-01-30 15:23:14,Ashes,diffuseleft,961744617,278530033,166204873
COVIS-20190130T163001-diffuseright,2019-01-30 16:30:01,Ashes,diffuseright,961745024,389327253,265187354
