# basename,datetime,site,mode,raw_size,7z_size
COVIS-20180729T235312-diffuse1,2018-07-29 23:53:12,Ashes,diffuse1,8440247,3204225
COVIS-20180729T235702-diffuse1,2018-07-29 23:57:02,Ashes,diffuse1,8440245,3220522
COVIS-20180729T235755-diffuse1,2018-07-29 23:57:55,Ashes,diffuse1,8440246,3211999
COVIS-20180729T235848-diffuse1,2018-07-29 23:58:48,Ashes,diffuse1,8440238,3194434
COVIS-20180729T235940-diffuse1,2018-07-29 23:59:40,Ashes,diffuse1,8440248,3191469
COVIS-20180730T000550-diffuse1,2018-07-30 00:05:50,Ashes,diffuse1,8440261,3180283
COVIS-20180730T000642-diffuse1,2018-07-30 00:06:42,Ashes,diffuse1,8440249,3197467
COVIS-20180730T000735-diffuse1,2018-07-30 00:07:35,Ashes,diffuse1,8440248,3203819
COVIS-20180730T000827-diffuse1,2018-07-30 00:08:27,Ashes,diffuse1,8440238,3248382
COVIS-20180730T002713-diffuse1,2018-07-30 00:27:13,Ashes,diffuse1,8440247,3206685
COVIS-20180730T002806-diffuse1,2018-07-30 00:28:06,Ashes,diffuse1,8440240,3210809
COVIS-20180730T002859-diffuse1,2018-07-30 00:28:59,Ashes,diffuse1,8440426,3221676
COVIS-20180730T002952-diffuse1,2018-07-30 00:29:52,Ashes,diffuse1,8440257,3230680
COVIS-20180730T003737-diffuse1,2018-07-30 00:37:37,Ashes,diffuse1,8440257,3218891
COVIS-20180730T003830-diffuse1,2018-07-30 00:38:30,Ashes,diffuse1,8440249,3186831
COVIS-20180730T003923-diffuse1,2018-07-30 00:39:23,Ashes,diffuse1,8440250,3187237
COVIS-20180730T004016-diffuse1,2018-07-30 00:40:16,Ashes,diffuse1,8440256,3184415
COVIS-20180730T005817-diffuse1,2018-07-30 00:58:17,Ashes,diffuse1,8440254,3197666
COVIS-20180730T005911-diffuse1,2018-07-30 00:59:11,Ashes,diffuse1,8440245,3223778
COVIS-20180730T010004-diffuse1,2018-07-30 01:00:04,Ashes,diffuse1,8440243,3199046
COVIS-20180730T010056-diffuse1,2018-07-30 01:00:56,Ashes,diffuse1,8440245,3221717
COVIS-20180730T010856-diffuse1,2018-07-30 01:08:56,Ashes,diffuse1,8440239,3183298
COVIS-20180730T010949-diffuse1,2018-07-30 01:09:49,Ashes,diffuse1,8440255,3201764
COVIS-20180730T011042-diffuse1,2018-07-30 01:10:42,Ashes,diffuse1,8440248,3182471
COVIS-20180730T011135-diffuse1,2018-07-30 01:11:35,Ashes,diffuse1,8440426,3210866
COVIS-20180730T013628-diffuse2,2018-07-30 01:36:28,Ashes,diffuse2,8440243,3239525
COVIS-20180730T013807-diffuse2,2018-07-30 01:38:07,Ashes,diffuse2,8440247,3270127
COVIS-20180730T013903-diffuse2,2018-07-30 01:39:03,Ashes,diffuse2,8440249,3300791
COVIS-20180730T013954-diffuse2,2018-07-30 01:39:54,Ashes,diffuse2,8440248,3318448
COVIS-20180730T015912-diffuse2,2018-07-30 01:59:12,Ashes,diffuse2,8440244,3288019
COVIS-20180730T020006-diffuse2,2018-07-30 02:00:06,Ashes,diffuse2,8440240,3305641
COVIS-20180730T020059-diffuse2,2018-07-30 02:00:59,Ashes,diffuse2,8440248,3329725
COVIS-20180730T020152-diffuse2,2018-07-30 02:01:52,Ashes,diffuse2,8440249,3319630
COVIS-20180730T021458-diffuse2,2018-07-30 02:14:58,Ashes,diffuse2,8440248,3334116
COVIS-20180730T021551-diffuse2,2018-07-30 02:15:51,Ashes,diffuse2,8440249,3363573
COVIS-20180730T021643-diffuse2,2018-07-30 02:16:43,Ashes,diffuse2,8440415,3348918
COVIS-20180730T021735-diffuse2,2018-07-30 02:17:35,Ashes,diffuse2,8440247,3338310
COVIS-20180730T022720-diffuse2,2018-07-30 02:27:20,Ashes,diffuse2,8440247,3305067
COVIS-20180730T022813-diffuse2,2018-07-30 02:28:13,Ashes,diffuse2,8440239,3313092
COVIS-20180730T022905-diffuse2,2018-07-30 02:29:05,Ashes,diffuse2,8440238,3282792
COVIS-20180730T022957-diffuse2,2018-07-30 02:29:57,Ashes,diffuse2,8440399,3321597
COVIS-20180730T024405-diffuse2,2018-07-30 02:44:05,Ashes,diffuse2,8440240,3360092
COVIS-20180730T024458-diffuse2,2018-07-30 02:44:58,Ashes,diffuse2,8440251,3340156
COVIS-20180730T024551-diffuse2,2018-07-30 02:45:51,Ashes,diffuse2,8440248,3371049
COVIS-20180730T024645-diffuse2,2018-07-30 02:46:45,Ashes,diffuse2,8440248,3350736
COVIS-20180730T025413-diffuse2,2018-07-30 02:54:13,Ashes,diffuse2,8440250,3347900
COVIS-20180730T025507-diffuse2,2018-07-30 02:55:07,Ashes,diffuse2,8440250,3346653
COVIS-20180730T025600-diffuse2,2018-07-30 02:56:00,Ashes,diffuse2,8440243,3337158
COVIS-20180730T025654-diffuse2,2018-07-30 02:56:54,Ashes,diffuse2,8440249,3354256
COVIS-20180730T031708-diffuse2,2018-07-30 03:17:08,Ashes,diffuse2,8440248,3352204
COVIS-20180730T031801-diffuse2,2018-07-30 03:18:01,Ashes,diffuse2,8440247,3350063
COVIS-20180730T031853-diffuse2,2018-07-30 03:18:53,Ashes,diffuse2,8440246,3354194
COVIS-20180730T031946-diffuse2,2018-07-30 03:19:46,Ashes,diffuse2,8440248,3363861
COVIS-20180730T034742-diffuse2,2018-07-30 03:47:42,Ashes,diffuse2,8440250,3568168
COVIS-20180730T034835-diffuse2,2018-07-30 03:48:35,Ashes,diffuse2,8440247,3550656
COVIS-20180730T034928-diffuse2,2018-07-30 03:49:28,Ashes,diffuse2,8440245,3571912
COVIS-20180730T035021-diffuse2,2018-07-30 03:50:21,Ashes,diffuse2,8440260,3548765
COVIS-20180730T035648-diffuse2,2018-07-30 03:56:48,Ashes,diffuse2,8440243,3557719
COVIS-20180730T035741-diffuse2,2018-07-30 03:57:41,Ashes,diffuse2,8440250,3538939
COVIS-20180730T035834-diffuse2,2018-07-30 03:58:34,Ashes,diffuse2,8440254,3549726
COVIS-20180730T035927-diffuse2,2018-07-30 03:59:27,Ashes,diffuse2,8440259,3543433
COVIS-20180730T040732-diffuse2,2018-07-30 04:07:32,Ashes,diffuse2,8440247,3363266
COVIS-20180730T040825-diffuse2,2018-07-30 04:08:25,Ashes,diffuse2,8440248,3327500
COVIS-20180730T040919-diffuse2,2018-07-30 04:09:19,Ashes,diffuse2,8440246,3344136
COVIS-20180730T041012-diffuse2,2018-07-30 04:10:12,Ashes,diffuse2,8440249,3354457
COVIS-20180730T042148-diffuse2,2018-07-30 04:21:48,Ashes,diffuse2,8440246,3418816
COVIS-20180730T042240-diffuse2,2018-07-30 04:22:40,Ashes,diffuse2,8440255,3431464
COVIS-20180730T042334-diffuse2,2018-07-30 04:23:34,Ashes,diffuse2,8440248,3409888
COVIS-20180730T042427-diffuse2,2018-07-30 04:24:27,Ashes,diffuse2,8440247,3345338
